"Deaths Occurring (Number) by Age at Death, Sex, Area of Residence and"
"Year"

" "," "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Under 1 year"
" ","Both sexes"
" "," ","Tipperary Town",1,0,..,2,1,..,..,..,..,..
" "," ","Tipperary",..,..,..,..,..,..,..,..,12,22
" "," ","Rest of South Tipperary",3,2,3,3,..,..,..,6,..,..
" "," ","Connacht",46,46,36,37,39,29,35,31,35,34
" "," ","Galway City",7,5,1,2,5,2,5,5,2,3
" "," ","Leitrim",2,3,3,3,2,3,3,..,2,4
" "," ","Mayo",15,10,14,9,9,6,8,8,12,8
" "," ","Ballina Town",2,2,..,0,..,..,..,..,..,..
" "," ","Castlebar Town",2,1,2,0,2,..,..,1,..,..
" "," ","Westport Town",2,0,2,0,..,..,..,..,..,..
" "," ","Rest of Co. Mayo",9,7,10,9,7,..,..,7,..,..
" "," ","Roscommon",1,11,5,4,5,3,2,2,6,2
" "," ","Boyle",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Roscommon",..,..,..,4,5,..,..,2,..,..
" "," ","Sligo",7,6,3,3,4,8,9,7,2,4
" "," ","Sligo Borough",1,0,1,0,1,..,..,3,..,..
" "," ","Rest of Co. Sligo",6,6,2,3,3,..,..,4,..,..
" "," ","Galway County",14,11,10,16,14,7,8,9,11,13
" "," ","Ballinasloe Town",..,0,2,1,..,..,..,1,..,..
" "," ","Loughrea",..,..,..,2,1,..,..,1,..,..
" "," ","Tuam",..,..,..,0,..,..,..,1,..,..
" "," ","Rest of Co. Galway",14,11,8,13,13,..,..,6,..,..
" "," ","Ulster (pt)",18,16,21,24,21,22,24,22,16,39
" "," ","Cavan",4,5,5,5,8,11,7,4,4,13
" "," ","Cavan Town",..,0,1,0,..,..,..,..,..,..
" "," ","Belturbet",..,..,..,0,..,..,..,1,..,..
" "," ","Cootehill",..,..,..,1,..,..,..,..,..,..
" "," ","Rest of Co. Cavan",4,5,4,4,8,..,..,3,..,..
" "," ","Donegal",10,8,11,11,9,4,11,11,8,19
" "," ","Buncrana Town",..,0,1,0,1,..,..,..,..,..
" "," ","Bundoran Town",..,1,..,0,2,..,..,..,..,..
" "," ","Letterkenny Town",3,1,2,2,3,..,..,..,..,..
" "," ","Ballyshannon",..,..,..,0,..,..,..,1,..,..
" "," ","Rest of Co. Donegal",7,6,8,9,3,..,..,10,..,..
" "," ","Monaghan",4,3,5,8,4,7,6,7,4,7
" "," ","Carrickmacross Town",..,0,1,1,..,..,..,..,..,..
" "," ","Castleblaney Town",..,0,..,0,..,..,..,1,..,..
" "," ","Clones Town",..,0,..,1,..,..,..,..,..,..
" "," ","Monaghan Town",..,1,2,1,1,..,..,..,..,..
" "," ","Ballybay",..,..,..,1,..,..,..,..,..,..
" "," ","Rest of Co. Monaghan",4,2,2,4,3,..,..,6,..,..
" "," ","Outside the State",..,..,..,..,..,..,..,..,..,..
"55 - 59 years"
" ","Both sexes"
" "," ","State",1160,1182,1170,1187,1195,1205,1182,1125,1178,1234
" "," ","Dublin City",158,179,163,162,170,185,170,170,157,180
" "," ","Fingal",54,47,53,53,36,49,55,39,56,49
" "," ","Balbriggan",..,..,..,5,6,..,..,2,..,..
" "," ","Rest of Fingal",..,..,..,..,30,..,..,..,..,..
" "," ","Dun Laoghaire Rathdown",34,39,45,58,41,45,35,41,36,41
" "," ","South Dublin",62,61,68,70,64,55,51,54,67,60
" "," ","Leinster",576,611,654,649,600,610,598,613,608,661
" "," ","Wicklow",17,47,34,37,39,41,34,39,37,36
" "," ","Arklow Town",2,4,4,6,4,..,..,4,..,..
" "," ","Bray Town",7,12,10,10,9,..,..,12,..,..
" "," ","Wicklow Town",..,3,3,1,0,..,..,2,..,..
" "," ","Greystones",..,..,..,3,6,..,..,3,..,..
" "," ","Rest of Wicklow",8,28,17,17,20,..,..,18,..,..
" "," ","Carlow",14,15,17,16,11,11,16,15,19,21
" "," ","Carlow Town",4,6,8,7,5,..,..,8,..,..
" "," ","Bagenalstown (Muine Bheag)",..,..,..,2,2,..,..,2,..,..
" "," ","Rest of Co. Carlow",10,9,9,9,4,..,..,7,..,..
" "," ","Kildare",45,46,56,41,46,40,43,43,38,59
" "," ","Athy Town",4,5,7,2,3,..,..,3,..,..
" "," ","Naas Town",7,3,7,3,5,..,..,9,..,..
" "," ","Leixlip",..,..,..,4,3,..,..,7,..,..
" "," ","Newbridge (Droichead Nua)",..,..,..,6,3,..,..,3,..,..
" "," ","Rest of Co. Kildare",34,38,42,26,32,..,..,21,..,..
" "," ","Kilkenny",18,25,23,32,14,22,18,35,27,21
" "," ","Kilkenny Borough",2,5,7,8,6,..,..,8,..,..
" "," ","Rest of Co. Kilkenny",16,20,16,24,8,..,..,27,..,..
" "," ","Laois",17,18,23,13,10,24,19,18,17,18
" "," ","Mountmellick",..,..,..,1,0,..,..,3,..,..
" "," ","Portlaoise",..,..,..,2,1,..,..,..,..,..
" "," ","Rest of Co. Laois",..,..,..,10,9,..,..,15,..,..
" "," ","Longford",11,16,13,13,12,16,9,8,9,15
" "," ","Longford town",1,2,1,4,5,..,..,1,..,..
" "," ","Granard",..,..,..,2,0,..,..,..,..,..
" "," ","Rest of Co. Longford",10,14,12,7,7,..,..,7,..,..
" "," ","Louth",29,26,32,32,29,17,33,28,24,33
" "," ","Drogheda Borough",7,14,11,9,5,..,..,8,..,..
" "," ","Dundalk Town",8,2,9,10,12,..,..,5,..,..
" "," ","Ardee",..,..,..,1,2,..,..,3,..,..
" "," ","Rest of Co. Louth",14,10,12,12,10,..,..,12,..,..
" "," ","Meath",32,31,46,34,35,41,39,32,39,37
" "," ","Kells Town",1,1,2,1,2,..,..,..,..,..
" "," ","Navan Town",6,6,9,7,4,..,..,6,..,..
" "," ","Trim Town",4,1,3,2,0,..,..,..,..,..
" "," ","Rest of Co. Meath",21,23,32,24,29,..,..,26,..,..
" "," ","Offaly",20,11,20,12,24,19,10,18,14,22
" "," ","Birr Town",..,2,3,1,1,..,..,..,..,..
" "," ","Tullamore Town",3,1,4,1,7,..,..,5,..,..
" "," ","Edenderry",..,..,..,3,0,..,..,4,..,..
" "," ","Rest of Co. Offaly",17,8,13,7,16,..,..,9,..,..
" "," ","Westmeath",19,25,25,22,19,15,25,22,24,26
" "," ","Athlone Town",5,6,7,9,4,..,..,3,..,..
" "," ","Mullingar",..,..,..,3,2,..,..,7,..,..
" "," ","Rest of Co. Westmeath",14,19,18,10,13,..,..,12,..,..
" "," ","Wexford",46,25,36,47,50,30,41,47,44,43
" "," ","Enniscorthy Town",6,0,4,4,4,..,..,4,..,..
" "," ","New Ross Town",2,3,3,3,6,..,..,2,..,..
" "," ","Wexford Borough",10,0,7,5,8,..,..,10,..,..
" "," ","Gorey",..,..,..,3,2,..,..,1,..,..
" "," ","Rest of Co. Wexford",28,22,22,32,30,..,..,30,..,..
" "," ","Munster",339,336,316,328,385,373,365,319,352,342
" "," ","Waterford County",20,16,14,24,20,17,17,16,16,16
" "," ","Dungarvan Town",3,4,4,2,1,..,..,1,..,..
" "," ","Lismore",..,..,..,1,1,..,..,1,..,..
" "," ","Tramore",..,..,..,2,4,..,..,3,..,..
" "," ","Rest of Waterford",17,12,10,19,14,..,..,11,..,..
" "," ","Waterford City",15,19,11,18,22,12,6,8,19,17
" "," ","Clare",19,24,21,29,41,29,28,32,27,39
" "," ","Ennis Town",3,4,8,4,5,..,..,8,..,..
" "," ","Kilrush Town",..,1,..,1,2,..,..,..,..,..
" "," ","Shannon",..,..,..,3,3,..,..,..,..,..
" "," ","Kilkee",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Clare",16,19,13,21,31,..,..,24,..,..
" "," ","Cork City",44,46,42,44,37,54,49,46,45,35
" "," ","Cork County",95,87,69,70,102,110,99,92,96,94
" "," ","Cobh Town",..,2,1,1,2,..,..,1,..,..
" "," ","Fermoy Town",2,0,2,1,4,..,..,..,..,..
" "," ","Kinsale Town",2,1,2,1,0,..,..,2,..,..
" "," ","Midleton Town",2,7,2,0,2,..,..,..,..,..
" "," ","Youghal Town",2,2,3,2,3,..,..,4,..,..
" "," ","Clonakilty Town",..,1,..,3,2,..,..,2,..,..
" "," ","Skibbereen Town",..,2,..,0,0,..,..,..,..,..
" "," ","Macroom Town",2,0,..,2,3,..,..,..,..,..
" "," ","Mallow Town",4,0,4,1,4,..,..,3,..,..
" "," ","Rest of Co. Cork",81,72,55,54,77,..,..,77,..,..
" "," ","Passage West",..,..,..,0,1,..,..,..,..,..
" "," ","Bandon",..,..,..,1,0,..,..,..,..,..
" "," ","Bantry",..,..,..,4,4,..,..,3,..,..
" "," ","Kerry",51,38,62,43,50,42,55,36,41,37
" "," ","Killarney Town",5,3,8,3,9,..,..,1,..,..
" "," ","Listowel Town",..,2,1,1,0,..,..,1,..,..
" "," ","Tralee Town",7,5,7,12,4,..,..,8,..,..
" "," ","Rest of Co. Kerry",39,28,46,27,37,..,..,26,..,..
" "," ","Limerick City",14,18,20,34,25,22,32,30,22,22
" "," ","Limerick County",36,46,28,26,41,37,28,23,41,30
" "," ","North Tipperary",25,19,26,17,26,20,18,16,..,..
" "," ","Nenagh Town",4,2,5,2,1,..,..,5,..,..
" "," ","Templemore Town",..,0,1,0,2,..,..,1,..,..
" "," ","Thurles Town",5,4,4,7,5,..,..,2,..,..
" "," ","Rest of North Tipperary",16,13,16,8,18,..,..,8,..,..
" "," ","South Tipperary",20,23,23,23,21,30,33,20,..,..
" "," ","Carrick-on-Suir Town",1,5,2,4,1,..,..,1,..,..
" "," ","Cashel Town",2,2,4,1,1,..,..,1,..,..
" "," ","Clonmel Borough",5,2,3,6,5,..,..,6,..,..
" "," ","Tipperary Town",1,0,4,0,2,..,..,1,..,..
" "," ","Tipperary",..,..,..,..,..,..,..,..,45,52
" "," ","Rest of South Tipperary",11,14,10,12,12,..,..,11,..,..
" "," ","Connacht",150,162,124,142,142,156,145,143,141,165
" "," ","Galway City",15,13,13,11,10,23,14,17,18,25
" "," ","Leitrim",14,14,2,5,4,13,10,8,8,14
" "," ","Mayo",40,42,31,47,33,42,41,34,39,39
" "," ","Ballina Town",3,2,1,2,2,..,..,3,..,..
" "," ","Castlebar Town",5,5,2,6,6,..,..,4,..,..
" "," ","Westport Town",2,0,3,2,1,..,..,3,..,..
" "," ","Rest of Co. Mayo",30,35,25,37,24,..,..,24,..,..
" "," ","Roscommon",23,20,14,12,14,19,11,21,15,20
" "," ","Boyle",..,..,..,0,1,..,..,..,..,..
" "," ","Rest of Co. Roscommon",..,..,..,12,13,..,..,21,..,..
" "," ","Sligo",17,29,24,19,27,19,20,22,11,12
" "," ","Sligo Borough",2,13,7,5,9,..,..,9,..,..
" "," ","Rest of Co. Sligo",15,16,17,14,18,..,..,13,..,..
" "," ","Galway County",41,44,40,48,54,40,49,41,50,55
" "," ","Ballinasloe Town",2,5,2,5,3,..,..,6,..,..
" "," ","Loughrea",..,..,..,3,2,..,..,2,..,..
" "," ","Tuam",..,..,..,1,0,..,..,4,..,..
" "," ","Rest of Co. Galway",39,39,38,39,49,..,..,29,..,..
" "," ","Ulster (pt)",95,73,76,68,68,66,74,50,77,66
" "," ","Cavan",20,23,23,19,14,14,19,13,24,14
" "," ","Cavan Town",2,4,..,0,1,..,..,5,..,..
" "," ","Belturbet",..,..,..,0,1,..,..,1,..,..
" "," ","Cootehill",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Cavan",18,19,23,19,12,..,..,7,..,..
" "," ","Donegal",56,34,34,39,36,37,41,25,40,35
" "," ","Buncrana Town",1,1,..,2,0,..,..,1,..,..
" "," ","Bundoran Town",3,0,2,1,1,..,..,1,..,..
" "," ","Letterkenny Town",9,2,5,8,4,..,..,3,..,..
" "," ","Ballyshannon",..,..,..,0,0,..,..,1,..,..
" "," ","Rest of Co. Donegal",43,31,27,28,31,..,..,19,..,..
" "," ","Monaghan",19,16,19,10,18,15,14,12,13,17
" "," ","Carrickmacross Town",2,0,2,2,4,..,..,1,..,..
" "," ","Castleblaney Town",1,2,3,3,1,..,..,2,..,..
" "," ","Clones Town",2,2,..,0,0,..,..,1,..,..
" "," ","Monaghan Town",5,1,2,0,1,..,..,2,..,..
" "," ","Ballybay",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Monaghan",9,11,12,5,12,..,..,6,..,..
" "," ","Outside the State",..,..,..,..,..,..,..,..,..,..
" ","Male"
" "," ","State",711,720,680,726,717,679,686,700,717,782
" "," ","Dublin City",95,106,101,89,103,109,97,114,96,110
" "," ","Fingal",27,22,29,32,20,29,30,27,42,33
" "," ","Balbriggan",..,..,..,3,4,..,..,2,..,..
" "," ","Rest of Fingal",..,..,..,..,16,..,..,..,..,..
" "," ","Dun Laoghaire Rathdown",21,22,20,34,24,27,23,21,18,23
" "," ","South Dublin",38,36,38,41,34,30,23,29,43,39
" "," ","Leinster",349,358,379,377,340,347,327,386,378,418
" "," ","Wicklow",14,31,18,19,17,21,19,28,23,21
" "," ","Arklow Town",2,3,2,4,2,..,..,2,..,..
" "," ","Bray Town",5,7,8,5,3,..,..,8,..,..
" "," ","Wicklow Town",..,3,2,0,..,..,..,1,..,..
" "," ","Greystones",..,..,..,2,2,..,..,3,..,..
" "," ","Rest of Wicklow",7,18,6,8,10,..,..,14,..,..
" "," ","Carlow",10,9,10,9,2,5,9,11,15,11
" "," ","Carlow Town",4,5,3,4,1,..,..,5,..,..
" "," ","Bagenalstown (Muine Bheag)",..,..,..,1,..,..,..,2,..,..
" "," ","Rest of Co. Carlow",6,4,7,5,1,..,..,6,..,..
" "," ","Kildare",29,31,29,21,23,22,22,26,23,40
" "," ","Athy Town",4,4,2,1,..,..,..,1,..,..
" "," ","Naas Town",5,2,6,1,3,..,..,6,..,..
" "," ","Leixlip",..,..,..,3,1,..,..,6,..,..
" "," ","Newbridge (Droichead Nua)",..,..,..,2,2,..,..,..,..,..
" "," ","Rest of Co. Kildare",20,25,21,14,17,..,..,13,..,..
" "," ","Kilkenny",11,14,14,22,7,14,9,26,20,15
" "," ","Kilkenny Borough",..,2,4,5,2,..,..,6,..,..
" "," ","Rest of Co. Kilkenny",11,12,10,17,5,..,..,20,..,..
" "," ","Laois",10,11,15,6,3,15,11,5,9,10
" "," ","Mountmellick",..,..,..,0,..,..,..,1,..,..
" "," ","Portlaoise",..,..,..,1,1,..,..,..,..,..
" "," ","Rest of Co. Laois",..,..,..,5,2,..,..,4,..,..
" "," ","Longford",5,6,9,9,9,6,6,4,6,10
" "," ","Longford town",1,0,..,3,5,..,..,1,..,..
" "," ","Granard",..,..,..,1,..,..,..,..,..,..
" "," ","Rest of Co. Longford",4,6,9,5,4,..,..,3,..,..
" "," ","Louth",17,13,23,19,18,9,14,13,10,18
" "," ","Drogheda Borough",3,7,7,6,4,..,..,4,..,..
" "," ","Dundalk Town",4,2,7,6,6,..,..,2,..,..
" "," ","Ardee",..,..,..,1,..,..,..,1,..,..
" "," ","Rest of Co. Louth",10,4,9,6,8,..,..,6,..,..
" "," ","Meath",19,23,27,25,23,23,21,23,26,24
" "," ","Kells Town",..,0,2,1,2,..,..,..,..,..
" "," ","Navan Town",4,4,3,6,2,..,..,5,..,..
" "," ","Trim Town",1,1,2,2,..,..,..,..,..,..
" "," ","Rest of Co. Meath",14,18,20,16,19,..,..,18,..,..
" "," ","Offaly",13,6,13,4,13,12,9,11,8,18
" "," ","Birr Town",..,2,2,0,..,..,..,..,..,..
" "," ","Tullamore Town",3,1,2,0,6,..,..,1,..,..
" "," ","Edenderry",..,..,..,1,..,..,..,3,..,..
" "," ","Rest of Co. Offaly",10,3,9,3,7,..,..,7,..,..
" "," ","Westmeath",10,13,17,11,13,9,14,15,16,16
" "," ","Athlone Town",4,4,4,6,4,..,..,3,..,..
" "," ","Mullingar",..,..,..,1,1,..,..,4,..,..
" "," ","Rest of Co. Westmeath",6,9,13,4,8,..,..,8,..,..
" "," ","Wexford",30,15,16,32,31,16,20,29,23,30
" "," ","Enniscorthy Town",5,0,2,3,4,..,..,3,..,..
" "," ","New Ross Town",1,3,2,1,5,..,..,1,..,..
" "," ","Wexford Borough",5,0,2,2,5,..,..,7,..,..
" "," ","Gorey",..,..,..,2,2,..,..,..,..,..
" "," ","Rest of Co. Wexford",19,12,10,24,15,..,..,18,..,..
" "," ","Munster",209,206,179,214,243,204,213,197,203,225
" "," ","Waterford County",9,12,5,14,10,8,12,9,11,9
" "," ","Dungarvan Town",3,3,..,1,1,..,..,1,..,..
" "," ","Lismore",..,..,..,0,..,..,..,1,..,..
" "," ","Tramore",..,..,..,0,3,..,..,1,..,..
" "," ","Rest of Waterford",6,9,5,13,6,..,..,6,..,..
" "," ","Waterford City",11,12,4,13,12,7,4,4,8,14
" "," ","Clare",11,10,15,18,28,21,18,22,14,25
" "," ","Ennis Town",3,3,7,2,4,..,..,5,..,..
" "," ","Kilrush Town",..,1,..,1,1,..,..,..,..,..
" "," ","Shannon",..,..,..,3,1,..,..,..,..,..
" "," ","Kilkee",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Clare",8,6,8,12,22,..,..,17,..,..
" "," ","Cork City",28,28,24,33,24,27,28,21,24,21
" "," ","Cork County",54,61,36,46,63,65,56,57,59,57
" "," ","Cobh Town",..,1,..,1,1,..,..,1,..,..
" "," ","Fermoy Town",1,0,2,1,3,..,..,..,..,..
" "," ","Kinsale Town",2,0,2,1,..,..,..,1,..,..
" "," ","Midleton Town",1,4,2,0,2,..,..,..,..,..
" "," ","Youghal Town",2,2,2,1,2,..,..,2,..,..
" "," ","Clonakilty Town",..,0,..,2,1,..,..,2,..,..
" "," ","Skibbereen Town",..,2,..,0,..,..,..,..,..,..
" "," ","Macroom Town",..,0,..,2,2,..,..,..,..,..
" "," ","Mallow Town",4,0,3,0,2,..,..,1,..,..
" "," ","Rest of Co. Cork",44,52,25,35,48,..,..,48,..,..
" "," ","Passage West",..,..,..,0,1,..,..,..,..,..
" "," ","Bandon",..,..,..,1,..,..,..,..,..,..
" "," ","Bantry",..,..,..,2,1,..,..,2,..,..
" "," ","Kerry",37,21,43,29,36,20,30,22,26,25
" "," ","Killarney Town",4,1,6,2,7,..,..,..,..,..
" "," ","Listowel Town",..,2,1,1,..,..,..,1,..,..
" "," ","Tralee Town",4,2,7,6,4,..,..,4,..,..
" "," ","Rest of Co. Kerry",29,16,29,20,25,..,..,17,..,..
" "," ","Limerick City",7,8,13,23,18,15,21,21,16,18
" "," ","Limerick County",24,33,16,14,26,17,16,14,20,22
" "," ","North Tipperary",14,9,13,10,16,10,7,14,..,..
" "," ","Nenagh Town",1,1,3,1,1,..,..,5,..,..
" "," ","Templemore Town",..,0,..,0,2,..,..,..,..,..
" "," ","Thurles Town",1,2,3,4,3,..,..,2,..,..
" "," ","Rest of North Tipperary",12,6,7,5,10,..,..,7,..,..
" "," ","South Tipperary",14,12,10,14,10,14,21,13,..,..
" "," ","Carrick-on-Suir Town",..,4,1,1,..,..,..,..,..,..
" "," ","Cashel Town",1,1,2,1,..,..,..,1,..,..
" "," ","Clonmel Borough",3,1,1,2,3,..,..,4,..,..
" "," ","Tipperary Town",1,0,1,0,1,..,..,..,..,..
" "," ","Tipperary",..,..,..,..,..,..,..,..,25,34
" "," ","Rest of South Tipperary",9,6,5,10,6,..,..,8,..,..
" "," ","Connacht",97,100,72,87,90,88,99,82,89,106
" "," ","Galway City",12,8,8,8,6,16,9,10,15,17
" "," ","Leitrim",7,8,2,5,1,9,8,5,3,10
" "," ","Mayo",27,26,21,28,22,21,23,18,23,26
" "," ","Ballina Town",2,1,..,1,2,..,..,3,..,..
" "," ","Castlebar Town",5,3,2,3,4,..,..,1,..,..
" "," ","Westport Town",2,0,2,1,..,..,..,2,..,..
" "," ","Rest of Co. Mayo",18,22,17,23,16,..,..,12,..,..
" "," ","Roscommon",14,14,8,6,9,13,8,15,10,13
" "," ","Boyle",..,..,..,0,1,..,..,..,..,..
" "," ","Rest of Co. Roscommon",..,..,..,6,8,..,..,15,..,..
" "," ","Sligo",12,18,14,12,18,10,16,13,6,8
" "," ","Sligo Borough",1,8,5,4,6,..,..,7,..,..
" "," ","Rest of Co. Sligo",11,10,9,8,12,..,..,6,..,..
" "," ","Galway County",25,26,19,28,34,19,35,21,32,32
" "," ","Ballinasloe Town",2,4,1,2,1,..,..,4,..,..
" "," ","Loughrea",..,..,..,2,1,..,..,2,..,..
" "," ","Tuam",..,..,..,0,..,..,..,2,..,..
" "," ","Rest of Co. Galway",23,22,18,24,32,..,..,13,..,..
" "," ","Ulster (pt)",56,56,50,48,44,40,47,35,47,33
" "," ","Cavan",12,17,15,14,10,10,13,12,19,8
" "," ","Cavan Town",2,2,..,0,1,..,..,5,..,..
" "," ","Belturbet",..,..,..,0,1,..,..,1,..,..
" "," ","Cootehill",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Cavan",10,15,15,14,8,..,..,6,..,..
" "," ","Donegal",30,25,27,26,23,20,26,16,18,20
" "," ","Buncrana Town",1,1,..,1,..,..,..,1,..,..
" "," ","Bundoran Town",2,0,2,1,1,..,..,1,..,..
" "," ","Letterkenny Town",4,2,5,4,3,..,..,2,..,..
" "," ","Ballyshannon",..,..,..,0,..,..,..,1,..,..
" "," ","Rest of Co. Donegal",23,22,20,20,19,..,..,11,..,..
" "," ","Monaghan",14,14,8,8,11,10,8,7,10,5
" "," ","Carrickmacross Town",2,0,..,2,2,..,..,1,..,..
" "," ","Castleblaney Town",1,1,2,2,..,..,..,2,..,..
" "," ","Clones Town",2,2,..,0,..,..,..,1,..,..
" "," ","Monaghan Town",2,1,1,0,1,..,..,1,..,..
" "," ","Ballybay",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Monaghan",7,10,5,4,8,..,..,2,..,..
" "," ","Outside the State",..,..,..,..,..,..,..,..,..,..
" ","Female"
" "," ","State",449,462,490,461,478,526,496,425,461,452
" "," ","Dublin City",63,73,62,73,67,76,73,56,61,70
" "," ","Fingal",27,25,24,21,16,20,25,12,14,16
" "," ","Balbriggan",..,..,..,2,2,..,..,..,..,..
" "," ","Rest of Fingal",..,..,..,..,14,..,..,..,..,..
" "," ","Dun Laoghaire Rathdown",13,17,25,24,17,18,12,20,18,18
" "," ","South Dublin",24,25,30,29,30,25,28,25,24,21
" "," ","Leinster",227,253,275,272,260,263,271,227,230,243
" "," ","Wicklow",3,16,16,18,22,20,15,11,14,15
" "," ","Arklow Town",..,1,2,2,2,..,..,2,..,..
" "," ","Bray Town",2,5,2,5,6,..,..,4,..,..
" "," ","Wicklow Town",..,0,1,1,..,..,..,1,..,..
" "," ","Greystones",..,..,..,1,4,..,..,..,..,..
" "," ","Rest of Wicklow",1,10,11,9,10,..,..,4,..,..
" "," ","Carlow",4,6,7,7,9,6,7,4,4,10
" "," ","Carlow Town",..,1,5,3,4,..,..,3,..,..
" "," ","Bagenalstown (Muine Bheag)",..,..,..,1,2,..,..,..,..,..
" "," ","Rest of Co. Carlow",4,5,2,4,3,..,..,1,..,..
" "," ","Kildare",16,15,27,20,23,18,21,17,15,19
" "," ","Athy Town",..,1,5,1,3,..,..,2,..,..
" "," ","Naas Town",2,1,1,2,2,..,..,3,..,..
" "," ","Leixlip",..,..,..,1,2,..,..,1,..,..
" "," ","Newbridge (Droichead Nua)",..,..,..,4,1,..,..,3,..,..
" "," ","Rest of Co. Kildare",14,13,21,12,15,..,..,8,..,..
" "," ","Kilkenny",7,11,9,10,7,8,9,9,7,6
" "," ","Kilkenny Borough",2,3,3,3,4,..,..,2,..,..
" "," ","Rest of Co. Kilkenny",5,8,6,7,3,..,..,7,..,..
" "," ","Laois",7,7,8,7,7,9,8,13,8,8
" "," ","Mountmellick",..,..,..,1,..,..,..,2,..,..
" "," ","Portlaoise",..,..,..,1,..,..,..,..,..,..
" "," ","Rest of Co. Laois",..,..,..,5,7,..,..,11,..,..
" "," ","Longford",6,10,4,4,3,10,3,4,3,5
" "," ","Longford town",..,2,1,1,..,..,..,..,..,..
" "," ","Granard",..,..,..,1,..,..,..,..,..,..
" "," ","Rest of Co. Longford",6,8,3,2,3,..,..,4,..,..
" "," ","Louth",12,13,9,13,11,8,19,15,14,15
" "," ","Drogheda Borough",4,7,4,3,1,..,..,4,..,..
" "," ","Dundalk Town",4,0,2,4,6,..,..,3,..,..
" "," ","Ardee",..,..,..,0,2,..,..,2,..,..
" "," ","Rest of Co. Louth",4,6,3,6,2,..,..,6,..,..
" "," ","Meath",13,8,19,9,12,18,18,9,13,13
" "," ","Kells Town",1,1,..,0,..,..,..,..,..,..
" "," ","Navan Town",2,2,6,1,2,..,..,1,..,..
" "," ","Trim Town",3,0,1,0,..,..,..,..,..,..
" "," ","Rest of Co. Meath",7,5,12,8,10,..,..,8,..,..
" "," ","Offaly",7,5,7,8,11,7,1,7,6,4
" "," ","Birr Town",..,0,1,1,1,..,..,..,..,..
" "," ","Tullamore Town",..,0,2,1,1,..,..,4,..,..
" "," ","Edenderry",..,..,..,2,..,..,..,1,..,..
" "," ","Rest of Co. Offaly",7,5,4,4,9,..,..,2,..,..
" "," ","Westmeath",9,12,8,11,6,6,11,7,8,10
" "," ","Athlone Town",1,2,3,3,..,..,..,..,..,..
" "," ","Mullingar",..,..,..,2,1,..,..,3,..,..
" "," ","Rest of Co. Westmeath",8,10,5,6,5,..,..,4,..,..
" "," ","Wexford",16,10,20,15,19,14,21,18,21,13
" "," ","Enniscorthy Town",1,0,2,1,..,..,..,1,..,..
" "," ","New Ross Town",1,0,1,2,1,..,..,1,..,..
" "," ","Wexford Borough",5,0,5,3,3,..,..,3,..,..
" "," ","Gorey",..,..,..,1,..,..,..,1,..,..
" "," ","Rest of Co. Wexford",9,10,12,8,15,..,..,12,..,..
" "," ","Munster",130,130,137,114,142,169,152,122,149,117
" "," ","Waterford County",11,4,9,10,10,9,5,7,5,7
" "," ","Dungarvan Town",..,1,4,1,..,..,..,..,..,..
" "," ","Lismore",..,..,..,1,1,..,..,..,..,..
" "," ","Tramore",..,..,..,2,1,..,..,2,..,..
" "," ","Rest of Waterford",11,3,5,6,8,..,..,5,..,..
" "," ","Waterford City",4,7,7,5,10,5,2,4,11,3
" "," ","Clare",8,14,6,11,13,8,10,10,13,14
" "," ","Ennis Town",..,1,1,2,1,..,..,3,..,..
" "," ","Kilrush Town",..,0,..,0,1,..,..,..,..,..
" "," ","Shannon",..,..,..,0,2,..,..,..,..,..
" "," ","Kilkee",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Clare",8,13,5,9,9,..,..,7,..,..
" "," ","Cork City",16,18,18,11,13,27,21,25,21,14
" "," ","Cork County",41,26,33,24,39,45,43,35,37,37
" "," ","Cobh Town",..,1,1,0,1,..,..,..,..,..
" "," ","Fermoy Town",1,0,..,0,1,..,..,..,..,..
" "," ","Kinsale Town",..,1,..,0,..,..,..,1,..,..
" "," ","Midleton Town",1,3,..,0,..,..,..,..,..,..
" "," ","Youghal Town",..,0,1,1,1,..,..,2,..,..
" "," ","Clonakilty Town",..,1,..,1,1,..,..,..,..,..
" "," ","Skibbereen Town",..,0,..,0,..,..,..,..,..,..
" "," ","Macroom Town",2,0,..,0,1,..,..,..,..,..
" "," ","Mallow Town",..,0,1,1,2,..,..,2,..,..
" "," ","Rest of Co. Cork",37,20,30,19,29,..,..,29,..,..
" "," ","Passage West",..,..,..,0,..,..,..,..,..,..
" "," ","Bandon",..,..,..,0,..,..,..,..,..,..
" "," ","Bantry",..,..,..,2,3,..,..,1,..,..
" "," ","Kerry",14,17,19,14,14,22,25,14,15,12
" "," ","Killarney Town",1,2,2,1,2,..,..,1,..,..
" "," ","Listowel Town",..,0,..,0,..,..,..,..,..,..
" "," ","Tralee Town",3,3,..,6,..,..,..,4,..,..
